spotify_uri,artist,track_name,first_seen_utc,playlist_uri,context
spotify:track:4BJ5k8vAGaHHW5KFksavW2,"Skrillex, Varg²™, Eurohead, SIIICKBRAIN, swedm®",Kora,2026-02-07T22:12:45.376Z,spotify:playlist:3UqoL2pn0nLAdDp9KiLsuh,AddedToPlaylist
spotify:track:4BRkPBUxOYffM2QXVlq7aC,The Beatles,Taxman - Remastered 2009,2026-03-06T00:29:12.991Z,,BasslineRequests
spotify:track:4CdWLwKMgXbU9meOpaUeHy,Chris Isaak,Rockin' Around The Christmas Tree,2026-01-29T15:56:15.796Z,,BasslineRequests
spotify:track:4D3v7xMHUcTMKiqnbqQvfP,"Bruno Berle, batata boy",Quero Dizer,2026-01-12T22:08:09.660Z,,BasslineRequests
spotify:track:4DE9UZQ877oxwA1nfpJb4m,Foramina Nigra,Expansion,2026-03-26T21:42:28.811Z,,BasslineRequests
spotify:track:4DFbRXlTdH9JdqCBeX6NOG,"Buena Vista Social Club, Omara Portuondo",Tiene Sabor (feat. Omara Portuondo),2026-02-12T16:58:11.030Z,,BasslineRequests
spotify:track:4DHATlv5A1Gs9pMaWSHDMb,"Apashe, High Klassified, Cherry Lena, IMANU",I'm Fine - IMANU Remix,2026-02-07T22:12:45.376Z,spotify:playlist:3UqoL2pn0nLAdDp9KiLsuh,AddedToPlaylist
spotify:track:4DgjUmqQnVcTfKa4oJRijU,Robotaki,Obelisk,2026-01-05T21:52:49.545Z,,BasslineRequests
spotify:track:4EPyq3k77kIXHvkSbEAdDi,Ivy Lab,Press Play,2026-03-21T23:42:04.663Z,spotify:playlist:7HRSsuGlxMuQjKPps1iOXv,AddedToPlaylist
spotify:track:4FEr6dIdH6EqLKR0jB560J,Deftones,Rosemary,2026-01-02T19:57:54.346Z,,BasslineRequests
spotify:track:4FXtFHaSUOLmgfNP8jVuUZ,Russian Circles,Hunter Moon,2026-03-12T03:20:29.698Z,,BasslineRequests
spotify:track:4Fms7TRUS4gTLTM9AF90F9,This Will Destroy You,"To Win, Somebody’s Got to Lose",2026-02-01T23:16:18.272Z,,BasslineRequests
spotify:track:4G7xTthzsGastjPWQCFKGq,Tiawa,Sonhos Cor De Rosa,2026-01-12T05:28:35.219Z,,BasslineRequests
spotify:track:4GzJVMMpOk3gjzv66x6z62,Captain Joz,Let's Get It,2026-03-21T23:42:04.663Z,spotify:playlist:7HRSsuGlxMuQjKPps1iOXv,AddedToPlaylist
spotify:track:4HpIh5wWfkq5sSuCLLSwYR,Deftones,Please Please Please Let Me Get What I Want - 2005 Remaster,2026-01-02T19:31:14.003Z,,BasslineRequests
spotify:track:4IWlLUroZJEcsFFqsO1W52,This Will Destroy You,Escape Angle,2026-02-02T23:24:42.970Z,,BasslineRequests
spotify:track:4IfHYniNBoAATWV6iLEXRs,Massive Attack,Mezzanine,2026-02-21T08:22:34.068Z,,BasslineRequests
spotify:track:4JV3BjszeEUD1bTTcx9hdx,Deftones,ecdysis,2026-01-09T20:06:05.705Z,,BasslineRequests
spotify:track:4JwxJm8zCPbc1DMcfVdbBl,Avenged Sevenfold,Wish You Were Here,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:4KyghCEewQOSZ4OdvQwFN3,Avenged Sevenfold,Mattel,2026-02-04T17:15:26.766Z,,BasslineRequests
