spotify_id,artist,track_name,duration,date_added
5Ax3yFjv9GZJSwoTnC0nGG,Project Mishram; Kmac2021,Kanakana,5:46,2025-11-04
62a4P1ZKVOzOjrtBnIMVh8,Pink Floyd,"Learning to Fly - Live",5:16,2025-10-23
4SI8ClxzA7QHSv47ZPAhH2,Mary Droppinz; Casey Club,Sofa Soup,2:50,2025-10-22
3z5hWZzvImk1r0AAfLQDj1,En:vy; Klinical,Gecko,3:46,2025-10-22
1XkvKjUQUvNgLXKFfk8tBZ,Gaspard Augé; Justice,Force majeure,3:26,2025-10-20
5ww9r75Y8JPRgAAc3qJPms,The Funkees,Akula Owu Onyeara,7:29,2025-10-18
6bB9BQEsEJQQJJ2rT5ZnkL,MPH,Funk Master,3:43,2025-10-12
36CzPt3fZMpTSpz0LYhT9E,Deathpact,Formality,3:03,2025-10-12
2ZtgdEKmSCMB5iXtIwJD6Q,Owl Vision,PILLZ,3:00,2025-10-12
2htd2AxzepztrCRQmpSNr2,Dotphic,Belomi Bena,2:29,2025-10-12
29ufIwomYfLbWBxPMdaUZm,LCD Soundsystem,North American Scum,5:29,2025-09-12
5Twubz3SaJmTykgAn8t7IS,Mandragora,Galactic Symphony,5:22,2025-09-10
0DsAxHjchu8vzMrumD3KsR,Pedestrian Tactics,Nerds Trying To Dance,2:58,2025-09-10
7MysdJNLp89Xl3zoSd5bC5,Wax Motif,WET,4:25,2025-09-02
5yOx2ezoz2hBfoE9mItGVo,Skrillex; Flowdan; BEAM; PEEKABOO,Hydrate,3:36,2025-08-31
5KWjZvEQlAbO24aYFOkzaD,Pool Kids,"That's Physics Baby",3:54,2025-08-24
53PkA8aXiwH4ppa0V0iO7o,LCD Soundsystem,oh baby,5:49,2025-08-07
1Y5EqnpZLLoAp4RQQTr10O,LCD Soundsystem,oh baby,5:50,2025-08-07
6kKXowSTq8uKZhdFPdG9BS,LCD Soundsystem,black screen,12:08,2025-08-07
4t8Wj2B859gQJ4pR8D8eAf,Max Cooper; Six Sigma,Parting Ways - Edit,4:38,2025-08-05
6vDM1b9YrFwQoas9RKnJba,Mr. Bill; Funi,Screening,3:33,2025-08-04
6hnyQ0YpiO35rutiLLHLmr,The Ides Of March,Vehicle,2:58,2025-07-23
7wEGeUzpPNnHKfOtSgYjG4,Isaac Hayes,Hung Up On My Baby,6:18,2025-07-23
6eDVnsVgEAjMdcczx4mpoq,Lafayette Afro Rock Band,Darkest Light,6:26,2025-07-23
72SPsHheqN6J3sI520jT9E,Amos Lee,Colors,2:40,2025-07-21
6LjQ5AXX1JFfZd7aOkQfUL,Alon Mor,Echoes Follow,7:34,2025-07-18
7JkXXU7HymDdxW4lPixViK,Charles Bradley; Menahan Street Band,Stay Away,3:12,2025-07-15
3BdoWtWx0tuYgJziTESrjP,Link Wray & The Wraymen,Rumble,2:28,2025-07-15
1wlaVrU7LfcavrsPFitykq,Link Wray; Link Wray & His Ray Men,Rumble,2:26,2025-07-15
5Hn7uZqDarw5VTNX1XluV3,The Centurians,Bullwinkle Pt. II,2:17,2025-07-15
5CKHhg31HcYYhwUeeGqvhq,Nina Simone,I Wish I Knew How It Would Feel to Be Free,3:09,2025-07-12
1pHFtKS55b0q9eHk8eM0Yw,postdrome,So Inviting,4:03,2025-07-11
0k8sY0HqcgFqWireLT4R3d,Filter,It's Gonna Kill Me,5:05,2025-07-11
2LRGlAf2hmATTi9K9zAiV3,Rone; John Stanier; Bryce Dessner,Lou,3:43,2025-07-02
6U9XV3WFi4Lo89SHxFpyNg,deadmau5,Nextra,6:00,2025-07-01
65B2edEzkUSfERlIYP0Vjm,Ital Tek,Bladed Terrain,4:09,2025-07-01
6HuMrMrfhhVADQ67VMx61l,Rone; John Stanier,Brest,3:25,2025-07-01
